class1(cell)	parent_class_of_class1	label_of_class1	class2(cell_line)	parent_class_of_class2	label_of_class2
http://purl.obolibrary.org/obo/CL_0000162	http://purl.obolibrary.org/obo/CL_0002659	parietal cell	http://purl.obolibrary.org/obo/CLO_0000066	http://purl.obolibrary.org/obo/CLO_0000065	parietal cell line
http://purl.obolibrary.org/obo/CL_0000152	http://purl.obolibrary.org/obo/CL_0000151	exocrine cell	http://purl.obolibrary.org/obo/CLO_0000067	http://purl.obolibrary.org/obo/CLO_0000059	exocrine cell line
http://purl.obolibrary.org/obo/CL_0000163	http://purl.obolibrary.org/obo/CL_0000151	endocrine cell	http://purl.obolibrary.org/obo/CLO_0000068	http://purl.obolibrary.org/obo/CLO_0000059	endocrine cell line
http://purl.obolibrary.org/obo/CL_0000097	http://purl.obolibrary.org/obo/CL_0000163	mast cell	http://purl.obolibrary.org/obo/CLO_0000069	http://purl.obolibrary.org/obo/CLO_0000068	mast cell line
http://purl.obolibrary.org/obo/CL_0000165	http://purl.obolibrary.org/obo/CL_0000163	neuroendocrine cell	http://purl.obolibrary.org/obo/CLO_0000070	http://purl.obolibrary.org/obo/CLO_0000068	neuroendocrine cell line
http://purl.obolibrary.org/obo/CL_0000178	http://purl.obolibrary.org/obo/CL_0000163	Leydig cell	http://purl.obolibrary.org/obo/CLO_0000071	http://purl.obolibrary.org/obo/CLO_0000068	Leydig cell line
http://purl.obolibrary.org/obo/CL_0000216	http://purl.obolibrary.org/obo/CL_0000151	Sertoli cell	http://purl.obolibrary.org/obo/CLO_0000072	http://purl.obolibrary.org/obo/CLO_0000059	Sertoli cell line
http://purl.obolibrary.org/obo/CL_0000786	http://purl.obolibrary.org/obo/CL_0000151	plasma cell	http://purl.obolibrary.org/obo/CLO_0000073	http://purl.obolibrary.org/obo/CLO_0000059	plasma cell line
http://purl.obolibrary.org/obo/CL_0000183	http://purl.obolibrary.org/obo/CL_0000003	contractile cell	http://purl.obolibrary.org/obo/CLO_0000074	http://purl.obolibrary.org/obo/CLO_0000001	contractile cell line
http://purl.obolibrary.org/obo/CL_0000186	http://purl.obolibrary.org/obo/CL_0000183	myofibroblast cell	http://purl.obolibrary.org/obo/CLO_0000075	http://purl.obolibrary.org/obo/CLO_0000074	myofibroblast cell line
http://purl.obolibrary.org/obo/CL_0000187	http://purl.obolibrary.org/obo/CL_0000183	muscle cell	http://purl.obolibrary.org/obo/CLO_0000076	http://purl.obolibrary.org/obo/CLO_0000074	muscle cell line
http://purl.obolibrary.org/obo/CL_0000188	http://purl.obolibrary.org/obo/CL_0000187	skeletal muscle cell	http://purl.obolibrary.org/obo/CLO_0000077	http://purl.obolibrary.org/obo/CLO_0000076	skeletal muscle cell line
http://purl.obolibrary.org/obo/CL_0000192	http://purl.obolibrary.org/obo/CL_0000187	smooth muscle cell	http://purl.obolibrary.org/obo/CLO_0000078	http://purl.obolibrary.org/obo/CLO_0000076	smooth muscle cell line
http://purl.obolibrary.org/obo/CL_0000211	http://purl.obolibrary.org/obo/CL_0000003	electrically active cell	http://purl.obolibrary.org/obo/CLO_0000079	http://purl.obolibrary.org/obo/CLO_0000001	electrically active cell line
http://purl.obolibrary.org/obo/CL_0000393	http://purl.obolibrary.org/obo/CL_0000211	electrically responsive cell	http://purl.obolibrary.org/obo/CLO_0000080	http://purl.obolibrary.org/obo/CLO_0000079	electrically responsive cell line
http://purl.obolibrary.org/obo/CL_0000540	http://purl.obolibrary.org/obo/CL_0000393	neuron	http://purl.obolibrary.org/obo/CLO_0000081	http://purl.obolibrary.org/obo/CLO_0000080	neuron cell line
http://purl.obolibrary.org/obo/CL_0000103	http://purl.obolibrary.org/obo/CL_0000540	bipolar neuron	http://purl.obolibrary.org/obo/CLO_0000082	http://purl.obolibrary.org/obo/CLO_0000081	bipolar neuron cell line
http://purl.obolibrary.org/obo/CL_0000749	http://purl.obolibrary.org/obo/CL_0000103	ON-bipolar cell	http://purl.obolibrary.org/obo/CLO_0000083	http://purl.obolibrary.org/obo/CLO_0000082	ON-bipolar cell line
http://purl.obolibrary.org/obo/CL_0000111	http://purl.obolibrary.org/obo/CL_0000540	peripheral neuron	http://purl.obolibrary.org/obo/CLO_0000084	http://purl.obolibrary.org/obo/CLO_0000081	peripheral neuron cell line
http://purl.obolibrary.org/obo/CL_0000122	http://purl.obolibrary.org/obo/CL_0000540	stellate cell	http://purl.obolibrary.org/obo/CLO_0000085	http://purl.obolibrary.org/obo/CLO_0000081	stellate cell line
http://purl.obolibrary.org/obo/CL_0000215	http://purl.obolibrary.org/obo/CL_0000003	barrier cell	http://purl.obolibrary.org/obo/CLO_0000086	http://purl.obolibrary.org/obo/CLO_0000001	barrier cell line
http://purl.obolibrary.org/obo/CL_0000213	http://purl.obolibrary.org/obo/CL_0000215	lining cell	http://purl.obolibrary.org/obo/CLO_0000087	http://purl.obolibrary.org/obo/CLO_0000086	lining cell line
http://purl.obolibrary.org/obo/CL_0000077	http://purl.obolibrary.org/obo/CL_0000213	mesothelial cell	http://purl.obolibrary.org/obo/CLO_0000088	http://purl.obolibrary.org/obo/CLO_0000087	mesothelial cell line
http://purl.obolibrary.org/obo/CL_0002625	http://purl.obolibrary.org/obo/CL_0000077	seminiferous tubule epithelial cell	http://purl.obolibrary.org/obo/CLO_0000089	http://purl.obolibrary.org/obo/CLO_0000088	seminiferous tubule epithelial cell line
http://purl.obolibrary.org/obo/CL_0000017	http://purl.obolibrary.org/obo/CL_0002625	spermatocyte	http://purl.obolibrary.org/obo/CLO_0000090	http://purl.obolibrary.org/obo/CLO_0000089	spermatocyte cell line
http://purl.obolibrary.org/obo/CL_0000115	http://purl.obolibrary.org/obo/CL_0000213	endothelial cell	http://purl.obolibrary.org/obo/CLO_0000091	http://purl.obolibrary.org/obo/CLO_0000087	endothelial cell line
http://purl.obolibrary.org/obo/CL_0000218	http://purl.obolibrary.org/obo/CL_0000215	myelinating Schwann cell	http://purl.obolibrary.org/obo/CLO_0000092	http://purl.obolibrary.org/obo/CLO_0000086	myelinating Schwann cell line
http://purl.obolibrary.org/obo/CL_0000219	http://purl.obolibrary.org/obo/CL_0000003	motile cell	http://purl.obolibrary.org/obo/CLO_0000093	http://purl.obolibrary.org/obo/CLO_0000001	motile cell line
http://purl.obolibrary.org/obo/CL_0000234	http://purl.obolibrary.org/obo/CL_0000219	phagocyte	http://purl.obolibrary.org/obo/CLO_0000094	http://purl.obolibrary.org/obo/CLO_0000093	phagocyte cell line
http://purl.obolibrary.org/obo/CL_0000113	http://purl.obolibrary.org/obo/CL_0000234	mononuclear phagocyte	http://purl.obolibrary.org/obo/CLO_0000095	http://purl.obolibrary.org/obo/CLO_0000094	mononuclear phagocyte cell line
http://purl.obolibrary.org/obo/CL_0000235	http://purl.obolibrary.org/obo/CL_0000234	macrophage	http://purl.obolibrary.org/obo/CLO_0000096	http://purl.obolibrary.org/obo/CLO_0000094	macrophage cell line
http://purl.obolibrary.org/obo/CL_0000864	http://purl.obolibrary.org/obo/CL_0000235	tissue-resident macrophage	http://purl.obolibrary.org/obo/CLO_0000097	http://purl.obolibrary.org/obo/CLO_0000096	tissue-resident macrophage cell line
http://purl.obolibrary.org/obo/CL_0000129	http://purl.obolibrary.org/obo/CL_0000864	microglial cell	http://purl.obolibrary.org/obo/CLO_0000098	http://purl.obolibrary.org/obo/CLO_0000097	microglial cell line
http://purl.obolibrary.org/obo/CL_0000581	http://purl.obolibrary.org/obo/CL_0000864	peritoneal macrophage	http://purl.obolibrary.org/obo/CLO_0000099	http://purl.obolibrary.org/obo/CLO_0000097	peritoneal macrophage cell line
http://purl.obolibrary.org/obo/CL_0000398	http://purl.obolibrary.org/obo/CL_0000234	polygonal cell	http://purl.obolibrary.org/obo/CLO_0000100	http://purl.obolibrary.org/obo/CLO_0000094	polygonal cell line
http://purl.obolibrary.org/obo/CL_0000732	http://purl.obolibrary.org/obo/CL_0000219	amoeboid cell	http://purl.obolibrary.org/obo/CLO_0000101	http://purl.obolibrary.org/obo/CLO_0000093	amoeboid cell line
http://purl.obolibrary.org/obo/CL_0000738	http://purl.obolibrary.org/obo/CL_0000219	leukocyte	http://purl.obolibrary.org/obo/CLO_0000102	http://purl.obolibrary.org/obo/CLO_0000093	leukocyte cell line
http://purl.obolibrary.org/obo/CL_0000451	http://purl.obolibrary.org/obo/CL_0000738	dendritic cell	http://purl.obolibrary.org/obo/CLO_0000103	http://purl.obolibrary.org/obo/CLO_0000102	dendritic cell line
http://purl.obolibrary.org/obo/CL_0000453	http://purl.obolibrary.org/obo/CL_0000451	Langerhans cell	http://purl.obolibrary.org/obo/CLO_0000104	http://purl.obolibrary.org/obo/CLO_0000103	Langerhans cell line
http://purl.obolibrary.org/obo/CL_0000766	http://purl.obolibrary.org/obo/CL_0000738	myeloid leukocyte	http://purl.obolibrary.org/obo/CLO_0000105	http://purl.obolibrary.org/obo/CLO_0000102	myeloid leukocyte cell line
http://purl.obolibrary.org/obo/CL_0000576	http://purl.obolibrary.org/obo/CL_0000766	monocyte	http://purl.obolibrary.org/obo/CLO_0000106	http://purl.obolibrary.org/obo/CLO_0000105	monocyte cell line
http://purl.obolibrary.org/obo/CL_0002087	http://purl.obolibrary.org/obo/CL_0000738	nongranular leukocyte	http://purl.obolibrary.org/obo/CLO_0000107	http://purl.obolibrary.org/obo/CLO_0000102	nongranular leukocyte cell line
http://purl.obolibrary.org/obo/CL_0000542	http://purl.obolibrary.org/obo/CL_0002087	lymphocyte	http://purl.obolibrary.org/obo/CLO_0000108	http://purl.obolibrary.org/obo/CLO_0000107	lymphocyte cell line
http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/CL_0000542	T cell	http://purl.obolibrary.org/obo/CLO_0000109	http://purl.obolibrary.org/obo/CLO_0000108	T cell line
http://purl.obolibrary.org/obo/CL_0000789	http://purl.obolibrary.org/obo/CL_0000084	alpha-beta T cell	http://purl.obolibrary.org/obo/CLO_0000110	http://purl.obolibrary.org/obo/CLO_0000109	alpha-beta T cell line
http://purl.obolibrary.org/obo/CL_0000790	http://purl.obolibrary.org/obo/CL_0000789	immature alpha-beta T cell	http://purl.obolibrary.org/obo/CLO_0000111	http://purl.obolibrary.org/obo/CLO_0000110	immature alpha-beta T cell line
http://purl.obolibrary.org/obo/CL_0000809	http://purl.obolibrary.org/obo/CL_0000790	double-positive, alpha-beta thymocyte	http://purl.obolibrary.org/obo/CLO_0000112	http://purl.obolibrary.org/obo/CLO_0000111	double-positive, alpha-beta thymocyte cell line
http://purl.obolibrary.org/obo/CL_0000791	http://purl.obolibrary.org/obo/CL_0000789	mature alpha-beta T cell	http://purl.obolibrary.org/obo/CLO_0000113	http://purl.obolibrary.org/obo/CLO_0000110	mature alpha-beta T cell line
http://purl.obolibrary.org/obo/CL_0000792	http://purl.obolibrary.org/obo/CL_0000791	CD4-positive, CD25-positive, alpha-beta regulatory T cell	http://purl.obolibrary.org/obo/CLO_0000114	http://purl.obolibrary.org/obo/CLO_0000113	CD4-positive, CD25-positive, alpha-beta regulatory T cell line
http://purl.obolibrary.org/obo/CL_0000902	http://purl.obolibrary.org/obo/CL_0000792	induced T-regulatory cell	http://purl.obolibrary.org/obo/CLO_0000115	http://purl.obolibrary.org/obo/CLO_0000114	induced T-regulatory cell line
http://purl.obolibrary.org/obo/CL_0002419	http://purl.obolibrary.org/obo/CL_0000084	mature T cell	http://purl.obolibrary.org/obo/CLO_0000116	http://purl.obolibrary.org/obo/CLO_0000109	mature T cell line
http://purl.obolibrary.org/obo/CL_0000912	http://purl.obolibrary.org/obo/CL_0002419	helper T cell	http://purl.obolibrary.org/obo/CLO_0000117	http://purl.obolibrary.org/obo/CLO_0000116	helper T cell line
http://purl.obolibrary.org/obo/CL_0002420	http://purl.obolibrary.org/obo/CL_0000084	immature T cell	http://purl.obolibrary.org/obo/CLO_0000118	http://purl.obolibrary.org/obo/CLO_0000109	immature T cell line
http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/CL_0000542	B cell	http://purl.obolibrary.org/obo/CLO_0000119	http://purl.obolibrary.org/obo/CLO_0000108	B cell line
http://purl.obolibrary.org/obo/CL_0000817	http://purl.obolibrary.org/obo/CL_0000236	precursor B cell	http://purl.obolibrary.org/obo/CLO_0000120	http://purl.obolibrary.org/obo/CLO_0000119	precursor B cell line
http://purl.obolibrary.org/obo/CL_0000623	http://purl.obolibrary.org/obo/CL_0000542	natural killer cell	http://purl.obolibrary.org/obo/CLO_0000121	http://purl.obolibrary.org/obo/CLO_0000108	natural killer cell line
http://purl.obolibrary.org/obo/CL_0000226	http://purl.obolibrary.org/obo/CL_0000003	single nucleate cell	http://purl.obolibrary.org/obo/CLO_0000122	http://purl.obolibrary.org/obo/CLO_0000001	single nucleate cell line
http://purl.obolibrary.org/obo/CL_0000228	http://purl.obolibrary.org/obo/CL_0000003	multinucleate cell	http://purl.obolibrary.org/obo/CLO_0000123	http://purl.obolibrary.org/obo/CLO_0000001	multinucleate cell line
http://purl.obolibrary.org/obo/CL_0000255	http://purl.obolibrary.org/obo/CL_0000003	eukaryotic cell	http://purl.obolibrary.org/obo/CLO_0000124	http://purl.obolibrary.org/obo/CLO_0000001	eukaryotic cell line
http://purl.obolibrary.org/obo/CL_0000263	http://purl.obolibrary.org/obo/CL_0000255	vegetative cell (sensu Mycetozoa)	http://purl.obolibrary.org/obo/CLO_0000125	http://purl.obolibrary.org/obo/CLO_0000124	vegetative cell line (sensu Mycetozoa)
http://purl.obolibrary.org/obo/CL_0000259	http://purl.obolibrary.org/obo/CL_0000263	aggregate cell	http://purl.obolibrary.org/obo/CLO_0000126	http://purl.obolibrary.org/obo/CLO_0000125	aggregate cell line
http://purl.obolibrary.org/obo/CL_0000265	http://purl.obolibrary.org/obo/CL_0000263	anterior like cell	http://purl.obolibrary.org/obo/CLO_0000127	http://purl.obolibrary.org/obo/CLO_0000125	anterior like cell line
http://purl.obolibrary.org/obo/CL_0000548	http://purl.obolibrary.org/obo/CL_0000255	animal cell	http://purl.obolibrary.org/obo/CLO_0000128	http://purl.obolibrary.org/obo/CLO_0000124	animal cell line
http://purl.obolibrary.org/obo/CL_0000066	http://purl.obolibrary.org/obo/CL_0000548	epithelial cell	http://purl.obolibrary.org/obo/CLO_0000129	http://purl.obolibrary.org/obo/CLO_0000128	epithelial cell line
http://purl.obolibrary.org/obo/CL_0000068	http://purl.obolibrary.org/obo/CL_0000066	duct epithelial cell	http://purl.obolibrary.org/obo/CLO_0000130	http://purl.obolibrary.org/obo/CLO_0000129	duct epithelial cell line
http://purl.obolibrary.org/obo/CL_0000075	http://purl.obolibrary.org/obo/CL_0000066	columnar/cuboidal epithelial cell	http://purl.obolibrary.org/obo/CLO_0000131	http://purl.obolibrary.org/obo/CLO_0000129	columnar/cuboidal epithelial cell line
http://purl.obolibrary.org/obo/CL_0000710	http://purl.obolibrary.org/obo/CL_0000075	neurecto-epithelial cell	http://purl.obolibrary.org/obo/CLO_0000132	http://purl.obolibrary.org/obo/CLO_0000131	neurecto-epithelial cell line
http://purl.obolibrary.org/obo/CL_0000148	http://purl.obolibrary.org/obo/CL_0000710	melanocyte	http://purl.obolibrary.org/obo/CLO_0000133	http://purl.obolibrary.org/obo/CLO_0000132	melanocyte cell line
http://purl.obolibrary.org/obo/CL_0000529	http://purl.obolibrary.org/obo/CL_0000710	pigmented epithelial cell	http://purl.obolibrary.org/obo/CLO_0000134	http://purl.obolibrary.org/obo/CLO_0000132	pigmented epithelial cell line
http://purl.obolibrary.org/obo/CL_0000076	http://purl.obolibrary.org/obo/CL_0000066	squamous epithelial cell	http://purl.obolibrary.org/obo/CLO_0000135	http://purl.obolibrary.org/obo/CLO_0000129	squamous epithelial cell line
http://purl.obolibrary.org/obo/CL_0000240	http://purl.obolibrary.org/obo/CL_0000076	stratified squamous epithelial cell	http://purl.obolibrary.org/obo/CLO_0000136	http://purl.obolibrary.org/obo/CLO_0000135	stratified squamous epithelial cell line
http://purl.obolibrary.org/obo/CL_0000237	http://purl.obolibrary.org/obo/CL_0000240	keratinizing barrier epithelial cell	http://purl.obolibrary.org/obo/CLO_0000137	http://purl.obolibrary.org/obo/CLO_0000136	keratinizing barrier epithelial cell line
http://purl.obolibrary.org/obo/CL_0000312	http://purl.obolibrary.org/obo/CL_0000237	keratinocyte	http://purl.obolibrary.org/obo/CLO_0000138	http://purl.obolibrary.org/obo/CLO_0000137	keratinocyte cell line
http://purl.obolibrary.org/obo/CL_0000362	http://purl.obolibrary.org/obo/CL_0000076	epidermal cell	http://purl.obolibrary.org/obo/CLO_0000139	http://purl.obolibrary.org/obo/CLO_0000135	epidermal cell line
http://purl.obolibrary.org/obo/CL_0000079	http://purl.obolibrary.org/obo/CL_0000066	stratified epithelial cell	http://purl.obolibrary.org/obo/CLO_0000140	http://purl.obolibrary.org/obo/CLO_0000129	stratified epithelial cell line
http://purl.obolibrary.org/obo/CL_0000082	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell of lung	http://purl.obolibrary.org/obo/CLO_0000141	http://purl.obolibrary.org/obo/CLO_0000129	epithelial cell line of lung
http://purl.obolibrary.org/obo/CL_0000083	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell of pancreas	http://purl.obolibrary.org/obo/CLO_0000142	http://purl.obolibrary.org/obo/CLO_0000129	epithelial cell line of pancreas
http://purl.obolibrary.org/obo/CL_0002077	http://purl.obolibrary.org/obo/CL_0000066	ecto-epithelial cell	http://purl.obolibrary.org/obo/CLO_0000143	http://purl.obolibrary.org/obo/CLO_0000129	ecto-epithelial cell line
http://purl.obolibrary.org/obo/CL_0002078	http://purl.obolibrary.org/obo/CL_0000066	meso-epithelial cell	http://purl.obolibrary.org/obo/CLO_0000144	http://purl.obolibrary.org/obo/CLO_0000129	meso-epithelial cell line
http://purl.obolibrary.org/obo/CL_0000349	http://purl.obolibrary.org/obo/CL_0000548	extraembryonic cell	http://purl.obolibrary.org/obo/CLO_0000145	http://purl.obolibrary.org/obo/CLO_0000128	extraembryonic cell line
http://purl.obolibrary.org/obo/CL_0000351	http://purl.obolibrary.org/obo/CL_0000349	trophoblast cell	http://purl.obolibrary.org/obo/CLO_0000146	http://purl.obolibrary.org/obo/CLO_0000145	trophoblast cell line
http://purl.obolibrary.org/obo/CL_0000988	http://purl.obolibrary.org/obo/CL_0000548	hematopoietic cell	http://purl.obolibrary.org/obo/CLO_0000147	http://purl.obolibrary.org/obo/CLO_0000128	hematopoietic cell line
http://purl.obolibrary.org/obo/CL_0000050	http://purl.obolibrary.org/obo/CL_0000988	megakaryocyte-erythroid progenitor cell	http://purl.obolibrary.org/obo/CLO_0000148	http://purl.obolibrary.org/obo/CLO_0000147	megakaryocyte-erythroid progenitor cell line
http://purl.obolibrary.org/obo/CL_0000081	http://purl.obolibrary.org/obo/CL_0000988	blood cell	http://purl.obolibrary.org/obo/CLO_0000149	http://purl.obolibrary.org/obo/CLO_0000147	blood cell line
http://purl.obolibrary.org/obo/CL_0000763	http://purl.obolibrary.org/obo/CL_0000988	myeloid cell	http://purl.obolibrary.org/obo/CLO_0000150	http://purl.obolibrary.org/obo/CLO_0000147	myeloid cell line
http://purl.obolibrary.org/obo/CL_0000765	http://purl.obolibrary.org/obo/CL_0000763	erythroblast	http://purl.obolibrary.org/obo/CLO_0000151	http://purl.obolibrary.org/obo/CLO_0000150	erythroblast cell line
http://purl.obolibrary.org/obo/CL_0002031	http://purl.obolibrary.org/obo/CL_0000988	hematopoietic lineage restricted progenitor cell	http://purl.obolibrary.org/obo/CLO_0000152	http://purl.obolibrary.org/obo/CLO_0000147	hematopoietic lineage restricted progenitor cell line
http://purl.obolibrary.org/obo/CL_0000826	http://purl.obolibrary.org/obo/CL_0002031	pro-B cell	http://purl.obolibrary.org/obo/CLO_0000153	http://purl.obolibrary.org/obo/CLO_0000152	pro-B cell line
http://purl.obolibrary.org/obo/CL_0000835	http://purl.obolibrary.org/obo/CL_0002031	myeloblast	http://purl.obolibrary.org/obo/CLO_0000154	http://purl.obolibrary.org/obo/CLO_0000152	myeloblast cell line
http://purl.obolibrary.org/obo/CL_0000829	http://purl.obolibrary.org/obo/CL_0000835	basophilic myeloblast	http://purl.obolibrary.org/obo/CLO_0000155	http://purl.obolibrary.org/obo/CLO_0000154	basophilic myeloblast cell line
http://purl.obolibrary.org/obo/CL_0002319	http://purl.obolibrary.org/obo/CL_0000548	neural cell	http://purl.obolibrary.org/obo/CLO_0000156	http://purl.obolibrary.org/obo/CLO_0000128	neural cell line
http://purl.obolibrary.org/obo/CL_0000125	http://purl.obolibrary.org/obo/CL_0002319	glial cell	http://purl.obolibrary.org/obo/CLO_0000157	http://purl.obolibrary.org/obo/CLO_0000156	glial cell line
http://purl.obolibrary.org/obo/CL_0000243	http://purl.obolibrary.org/obo/CL_0000125	glial cell (sensu Vertebrata)	http://purl.obolibrary.org/obo/CLO_0000158	http://purl.obolibrary.org/obo/CLO_0000157	glial cell line (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000127	http://purl.obolibrary.org/obo/CL_0000243	astrocyte	http://purl.obolibrary.org/obo/CLO_0000159	http://purl.obolibrary.org/obo/CLO_0000158	astrocyte cell line
http://purl.obolibrary.org/obo/CL_0002320	http://purl.obolibrary.org/obo/CL_0000548	connective tissue cell	http://purl.obolibrary.org/obo/CLO_0000160	http://purl.obolibrary.org/obo/CLO_0000128	connective tissue cell line
http://purl.obolibrary.org/obo/CL_0000057	http://purl.obolibrary.org/obo/CL_0002320	fibroblast	http://purl.obolibrary.org/obo/CLO_0000161	http://purl.obolibrary.org/obo/CLO_0000160	fibroblast cell line
http://purl.obolibrary.org/obo/CL_0000499	http://purl.obolibrary.org/obo/CL_0002320	stromal cell	http://purl.obolibrary.org/obo/CLO_0000162	http://purl.obolibrary.org/obo/CLO_0000160	stromal cell line
http://purl.obolibrary.org/obo/CL_0000325	http://purl.obolibrary.org/obo/CL_0000003	stuff accumulating cell	http://purl.obolibrary.org/obo/CLO_0000163	http://purl.obolibrary.org/obo/CLO_0000001	stuff accumulating cell line
http://purl.obolibrary.org/obo/CL_0000668	http://purl.obolibrary.org/obo/CL_0000003	parenchymal cell	http://purl.obolibrary.org/obo/CLO_0000164	http://purl.obolibrary.org/obo/CLO_0000001	parenchymal cell line
http://purl.obolibrary.org/obo/CL_0002242	http://purl.obolibrary.org/obo/CL_0000003	nucleate cell	http://purl.obolibrary.org/obo/CLO_0000165	http://purl.obolibrary.org/obo/CLO_0000001	nucleate cell line
http://purl.obolibrary.org/obo/CL_0002371	http://purl.obolibrary.org/obo/CL_0000003	somatic cell	http://purl.obolibrary.org/obo/CLO_0000166	http://purl.obolibrary.org/obo/CLO_0000001	somatic cell line
