?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0002073>	<http://www.w3.org/2000/01/rdf-schema#label>	"C0092 cell"	
<http://purl.obolibrary.org/obo/CLO_0006518>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGL004/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0003733>	<http://www.w3.org/2000/01/rdf-schema#label>	"HFL cell"	
<http://purl.obolibrary.org/obo/CLO_0003557>	<http://www.w3.org/2000/01/rdf-schema#label>	"GR-20 cell"	
<http://purl.obolibrary.org/obo/CLO_0000330>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal ureter-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002300>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-1137Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0002124>	<http://www.w3.org/2000/01/rdf-schema#label>	"c4 (B13NBii1) cell"	
<http://purl.obolibrary.org/obo/CLO_0051370>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1951 cell"	
<http://purl.obolibrary.org/obo/CLO_0003608>	<http://www.w3.org/2000/01/rdf-schema#label>	"H57-597 cell"	
<http://purl.obolibrary.org/obo/CLO_0051194>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0131 cell"	
<http://purl.obolibrary.org/obo/CLO_0051421>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0805 cell"	
<http://purl.obolibrary.org/obo/CLO_0051245>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0067 cell"	
<http://purl.obolibrary.org/obo/CLO_0008761>	<http://www.w3.org/2000/01/rdf-schema#label>	"RBL 1 cell"	
<http://purl.obolibrary.org/obo/CLO_0051069>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0034 cell"	
<http://purl.obolibrary.org/obo/CLO_0008585>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI189 cell"	
<http://purl.obolibrary.org/obo/CLO_0007152>	<http://www.w3.org/2000/01/rdf-schema#label>	"L11/135 cell"	
<http://purl.obolibrary.org/obo/CLO_0008812>	<http://www.w3.org/2000/01/rdf-schema#label>	"RH cell"	
<http://purl.obolibrary.org/obo/CLO_0004191>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 890.T cell"	
<http://purl.obolibrary.org/obo/CLO_0008636>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI433 cell"	
<http://purl.obolibrary.org/obo/CLO_0005851>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF075/89 cell"	
<http://purl.obolibrary.org/obo/CLO_0005675>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF064/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0002890>	<http://www.w3.org/2000/01/rdf-schema#label>	"EFM-192B cell"	
<http://purl.obolibrary.org/obo/CLO_0007203>	<http://www.w3.org/2000/01/rdf-schema#label>	"L6 cell"	
<http://purl.obolibrary.org/obo/CLO_0005499>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF053/91 cell"	
<http://purl.obolibrary.org/obo/CLO_0007027>	<http://www.w3.org/2000/01/rdf-schema#label>	"JLS-V5 cell"	
<http://purl.obolibrary.org/obo/CLO_0004242>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 938.T cell"	
<http://purl.obolibrary.org/obo/CLO_0005902>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF079/80 cell"	
<http://purl.obolibrary.org/obo/CLO_0004066>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 706.T cell"	
<http://purl.obolibrary.org/obo/CLO_0001281>	<http://www.w3.org/2000/01/rdf-schema#label>	"308TAg cell"	
<http://purl.obolibrary.org/obo/CLO_0005726>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF067/88 cell"	
<http://purl.obolibrary.org/obo/CLO_0002941>	<http://www.w3.org/2000/01/rdf-schema#label>	"EPI cell"	
<http://purl.obolibrary.org/obo/CLO_0002765>	<http://www.w3.org/2000/01/rdf-schema#label>	"DG 2 cell"	
<http://purl.obolibrary.org/obo/CLO_0002589>	<http://www.w3.org/2000/01/rdf-schema#label>	"COR-L279 cell"	
<http://purl.obolibrary.org/obo/CLO_0004117>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 792(A).T cell"	
<http://purl.obolibrary.org/obo/CLO_0001332>	<http://www.w3.org/2000/01/rdf-schema#label>	"3C10 cell"	
<http://purl.obolibrary.org/obo/CLO_0001156>	<http://www.w3.org/2000/01/rdf-schema#label>	"1BR.3.N cell"	
<http://purl.obolibrary.org/obo/CLO_0002816>	<http://www.w3.org/2000/01/rdf-schema#label>	"DR89P cell"	
<http://purl.obolibrary.org/obo/CLO_0000334>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal umbilical vein-derived endothelial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0037152>	<http://www.w3.org/2000/01/rdf-schema#label>	"HTC-C3 cell"	
<http://purl.obolibrary.org/obo/CLO_0009270>	<http://www.w3.org/2000/01/rdf-schema#label>	"tao BpRcl cell"	
<http://purl.obolibrary.org/obo/CLO_0001207>	<http://www.w3.org/2000/01/rdf-schema#label>	"23CLN cell"	
<http://purl.obolibrary.org/obo/CLO_0009094>	<http://www.w3.org/2000/01/rdf-schema#label>	"SNU-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0050453>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2258 cell"	
<http://purl.obolibrary.org/obo/CLO_0050277>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1294 cell"	
<http://purl.obolibrary.org/obo/CLO_0007793>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mm5MT cell"	
<http://purl.obolibrary.org/obo/CLO_0037203>	<http://www.w3.org/2000/01/rdf-schema#label>	"MM.1S cell"@en	
<http://purl.obolibrary.org/obo/CLO_0009321>	<http://www.w3.org/2000/01/rdf-schema#label>	"TEK cell"	
<http://purl.obolibrary.org/obo/CLO_0037027>	<http://www.w3.org/2000/01/rdf-schema#label>	"LU65C cell"	
<http://purl.obolibrary.org/obo/CLO_0009145>	<http://www.w3.org/2000/01/rdf-schema#label>	"S-T92f cell"	
<http://purl.obolibrary.org/obo/CLO_0006360>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF128/84 cell"	
<http://purl.obolibrary.org/obo/CLO_0050504>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0278 cell"	
<http://purl.obolibrary.org/obo/CLO_0006184>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF103/78 cell"	
<http://purl.obolibrary.org/obo/CLO_0050328>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1916 cell"	
<http://purl.obolibrary.org/obo/CLO_0007844>	<http://www.w3.org/2000/01/rdf-schema#label>	"MP 5 cell"	
<http://purl.obolibrary.org/obo/CLO_0007668>	<http://www.w3.org/2000/01/rdf-schema#label>	"MEG-01 cell"	
<http://purl.obolibrary.org/obo/CLO_0004883>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF024/93 cell"	
<http://purl.obolibrary.org/obo/CLO_0006411>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF146/80 cell"	
<http://purl.obolibrary.org/obo/CLO_0006235>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF108/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0003450>	<http://www.w3.org/2000/01/rdf-schema#label>	"GAMG cell"	
<http://purl.obolibrary.org/obo/CLO_0000857>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Coquerel's mouse lemur skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006059>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF092/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0003274>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-EDIV4 cell"	
<http://purl.obolibrary.org/obo/CLO_0007719>	<http://www.w3.org/2000/01/rdf-schema#label>	"MHH-NB-11 cell"	
<http://purl.obolibrary.org/obo/CLO_0004934>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF026/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0003098>	<http://www.w3.org/2000/01/rdf-schema#label>	"FH 100 cell"	
<http://purl.obolibrary.org/obo/CLO_0004758>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF018/97 cell"	
<http://purl.obolibrary.org/obo/CLO_0001973>	<http://www.w3.org/2000/01/rdf-schema#label>	"BHK-HVJ cell"	
<http://purl.obolibrary.org/obo/CLO_0003501>	<http://www.w3.org/2000/01/rdf-schema#label>	"GL1 cell"	
<http://purl.obolibrary.org/obo/CLO_0001797>	<http://www.w3.org/2000/01/rdf-schema#label>	"B18 cell"	
<http://purl.obolibrary.org/obo/CLO_0003325>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-PSE40 cell"	
<http://purl.obolibrary.org/obo/CLO_0003149>	<http://www.w3.org/2000/01/rdf-schema#label>	"FH 163 cell"	
<http://purl.obolibrary.org/obo/CLO_0004809>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF021/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0001848>	<http://www.w3.org/2000/01/rdf-schema#label>	"BAE cell"	
<http://purl.obolibrary.org/obo/CLO_0009962>	<http://www.w3.org/2000/01/rdf-schema#label>	"HCC2998 cell"	
<http://purl.obolibrary.org/obo/CLO_0009786>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse spherical lensed eye-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051013>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2083 cell"	
<http://purl.obolibrary.org/obo/CLO_0008353>	<http://www.w3.org/2000/01/rdf-schema#label>	"PA317 cell"	
<http://purl.obolibrary.org/obo/CLO_0050969>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0423 cell"	
<http://purl.obolibrary.org/obo/CLO_0008177>	<http://www.w3.org/2000/01/rdf-schema#label>	"NK-92 cell"	
<http://purl.obolibrary.org/obo/CLO_0005392>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF048/82 cell"	
<http://purl.obolibrary.org/obo/CLO_0009837>	<http://www.w3.org/2000/01/rdf-schema#label>	"J.gamma1.WT cell"	
<http://purl.obolibrary.org/obo/CLO_0006876>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-788 cell"	
<http://purl.obolibrary.org/obo/CLO_0008404>	<http://www.w3.org/2000/01/rdf-schema#label>	"P-D89 cell"	
<http://purl.obolibrary.org/obo/CLO_0008228>	<http://www.w3.org/2000/01/rdf-schema#label>	"OAW28 cell"	
<http://purl.obolibrary.org/obo/CLO_0005443>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF050/98 cell"	
<http://purl.obolibrary.org/obo/CLO_0005267>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF042/87 cell"	
<http://purl.obolibrary.org/obo/CLO_0002482>	<http://www.w3.org/2000/01/rdf-schema#label>	"CKMM 14.15 cell"	
<http://purl.obolibrary.org/obo/CLO_0004010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 579.Mg cell"	
<http://purl.obolibrary.org/obo/CLO_0006927>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-969 cell"	
<http://purl.obolibrary.org/obo/CLO_0003966>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 456.Bt cell"	
<http://purl.obolibrary.org/obo/CLO_0005318>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF044/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0002533>	<http://www.w3.org/2000/01/rdf-schema#label>	"CMT93/69 cell"	
<http://purl.obolibrary.org/obo/CLO_0002357>	<http://www.w3.org/2000/01/rdf-schema#label>	"CEM-CM3 cell"	
<http://purl.obolibrary.org/obo/CLO_0001100>	<http://www.w3.org/2000/01/rdf-schema#label>	"151TAg cell"	
<http://purl.obolibrary.org/obo/CLO_0050170>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0137 cell"	
<http://purl.obolibrary.org/obo/CLO_0002408>	<http://www.w3.org/2000/01/rdf-schema#label>	"CH1 cell"	
<http://purl.obolibrary.org/obo/CLO_0051478>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1470 cell"	
<http://purl.obolibrary.org/obo/CLO_0008994>	<http://www.w3.org/2000/01/rdf-schema#label>	"S-G87 cell"	
<http://purl.obolibrary.org/obo/CLO_0050221>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1601 cell"	
<http://purl.obolibrary.org/obo/CLO_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal pericardium-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050045>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0455 cell"	
<http://purl.obolibrary.org/obo/CLO_0007561>	<http://www.w3.org/2000/01/rdf-schema#label>	"M-B87a cell"	
<http://purl.obolibrary.org/obo/CLO_0000048>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal epithelial fate stem cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007385>	<http://www.w3.org/2000/01/rdf-schema#label>	"LP96 cell"	
<http://purl.obolibrary.org/obo/CLO_0051529>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2402 cell"	
<http://purl.obolibrary.org/obo/CLO_0008869>	<http://www.w3.org/2000/01/rdf-schema#label>	"RPMI 2650 cell"	
<http://purl.obolibrary.org/obo/CLO_0007612>	<http://www.w3.org/2000/01/rdf-schema#label>	"MCF7-492X1 cell"	
<http://purl.obolibrary.org/obo/CLO_0007436>	<http://www.w3.org/2000/01/rdf-schema#label>	"L-a-1b cell"	
<http://purl.obolibrary.org/obo/CLO_0004651>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF013/96 cell"	
<http://purl.obolibrary.org/obo/CLO_0004475>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF005/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0001690>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ainv15 cell"	
<http://purl.obolibrary.org/obo/CLO_0006003>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF087/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0004299>	<http://www.w3.org/2000/01/rdf-schema#label>	"HuP-T3 cell"	
<http://purl.obolibrary.org/obo/CLO_0003042>	<http://www.w3.org/2000/01/rdf-schema#label>	"FC56.Thy cell"	
<http://purl.obolibrary.org/obo/CLO_0005959>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF083/86 cell"	
<http://purl.obolibrary.org/obo/CLO_0004702>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF016/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0002998>	<http://www.w3.org/2000/01/rdf-schema#label>	"FAT 7 cell"	
<http://purl.obolibrary.org/obo/CLO_0004526>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF007/97 cell"	
<http://purl.obolibrary.org/obo/CLO_0001741>	<http://www.w3.org/2000/01/rdf-schema#label>	"AR4IP cell"	
<http://purl.obolibrary.org/obo/CLO_0001565>	<http://www.w3.org/2000/01/rdf-schema#label>	"A-204 cell"	
<http://purl.obolibrary.org/obo/CLO_0001389>	<http://www.w3.org/2000/01/rdf-schema#label>	"4C4 cell"	
<http://purl.obolibrary.org/obo/CLO_0001616>	<http://www.w3.org/2000/01/rdf-schema#label>	"A84M cell"	
<http://purl.obolibrary.org/obo/CLO_0050862>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2611 cell"	
<http://purl.obolibrary.org/obo/CLO_0008070>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H2291 cell"	
<http://purl.obolibrary.org/obo/CLO_0050686>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0788 cell"	
<http://purl.obolibrary.org/obo/CLO_0009730>	<http://www.w3.org/2000/01/rdf-schema#label>	"a-ACE 3.1.1 cell"	
<http://purl.obolibrary.org/obo/CLO_0037436>	<http://www.w3.org/2000/01/rdf-schema#label>	"MSF14 cell"	
<http://purl.obolibrary.org/obo/CLO_0009554>	<http://www.w3.org/2000/01/rdf-schema#label>	"VX7 cell"	
<http://purl.obolibrary.org/obo/CLO_0050913>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0443 cell"	
<http://purl.obolibrary.org/obo/CLO_0009378>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tn5 B1-4 cell"	
<http://purl.obolibrary.org/obo/CLO_0000952>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal cabbage looper cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006593>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGL015/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0008121>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H838 cell"	
<http://purl.obolibrary.org/obo/CLO_0050737>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2032 cell"	
<http://purl.obolibrary.org/obo/CLO_0005160>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF037/87 cell"	
<http://purl.obolibrary.org/obo/CLO_0009605>	<http://www.w3.org/2000/01/rdf-schema#label>	"WIL2-S cell"	
<http://purl.obolibrary.org/obo/CLO_0006820>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-636 cell"	
<http://purl.obolibrary.org/obo/CLO_0009429>	<http://www.w3.org/2000/01/rdf-schema#label>	"TTD6PV cell"	
<http://purl.obolibrary.org/obo/CLO_0006644>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGL029/00 cell"	
<http://purl.obolibrary.org/obo/CLO_0006468>	<http://www.w3.org/2000/01/rdf-schema#label>	"IgG-1B3 cell"	
<http://purl.obolibrary.org/obo/CLO_0003683>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEL92.1.7 cell"	
<http://purl.obolibrary.org/obo/CLO_0005211>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF039/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0005035>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF031/98 cell"	
<http://purl.obolibrary.org/obo/CLO_0002250>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD 841 CoN cell"	
<http://purl.obolibrary.org/obo/CLO_0003910>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 27 cell"	
<http://purl.obolibrary.org/obo/CLO_0002074>	<http://www.w3.org/2000/01/rdf-schema#label>	"C0994IL2 cell"	
<http://purl.obolibrary.org/obo/CLO_0006519>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGL005/00 cell"	
<http://purl.obolibrary.org/obo/CLO_0003734>	<http://www.w3.org/2000/01/rdf-schema#label>	"HFL1 cell"	
<http://purl.obolibrary.org/obo/CLO_0003558>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gr431 cell"	
<http://purl.obolibrary.org/obo/CLO_0000773>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rat pyramid of medulla oblongata-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002301>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-1138Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0002125>	<http://www.w3.org/2000/01/rdf-schema#label>	"C-4 I cell"	
<http://purl.obolibrary.org/obo/CLO_0051371>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2098 cell"	
<http://purl.obolibrary.org/obo/CLO_0003609>	<http://www.w3.org/2000/01/rdf-schema#label>	"H69 cell"	
<http://purl.obolibrary.org/obo/CLO_0051195>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0203 cell"	
<http://purl.obolibrary.org/obo/CLO_0051422>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0748 cell"	
<http://purl.obolibrary.org/obo/CLO_0051246>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0068 cell"	
<http://purl.obolibrary.org/obo/CLO_0008762>	<http://www.w3.org/2000/01/rdf-schema#label>	"RBL-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0008586>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI193 cell"	
<http://purl.obolibrary.org/obo/CLO_0007153>	<http://www.w3.org/2000/01/rdf-schema#label>	"L1192 cell"	
<http://purl.obolibrary.org/obo/CLO_0008813>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rhfs-MPMV cell"	
<http://purl.obolibrary.org/obo/CLO_0004192>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 891.T cell"	
<http://purl.obolibrary.org/obo/CLO_0008637>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI437 cell"	
<http://purl.obolibrary.org/obo/CLO_0005852>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF075/90 cell"	
<http://purl.obolibrary.org/obo/CLO_0005676>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF064/84 cell"	
<http://purl.obolibrary.org/obo/CLO_0002891>	<http://www.w3.org/2000/01/rdf-schema#label>	"EFM-192C cell"	
<http://purl.obolibrary.org/obo/CLO_0007204>	<http://www.w3.org/2000/01/rdf-schema#label>	"L6.C10 cell"	
<http://purl.obolibrary.org/obo/CLO_0007028>	<http://www.w3.org/2000/01/rdf-schema#label>	"JLS-V9 cell"	
<http://purl.obolibrary.org/obo/CLO_0004243>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 939.T cell"	
<http://purl.obolibrary.org/obo/CLO_0005903>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF079/81 cell"	
<http://purl.obolibrary.org/obo/CLO_0004067>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 707(A).T cell"	
<http://purl.obolibrary.org/obo/CLO_0001282>	<http://www.w3.org/2000/01/rdf-schema#label>	"30-C7 cell"	
<http://purl.obolibrary.org/obo/CLO_0005727>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF067/89 cell"	
<http://purl.obolibrary.org/obo/CLO_0002942>	<http://www.w3.org/2000/01/rdf-schema#label>	"EPLC-272H cell"	
<http://purl.obolibrary.org/obo/CLO_0002766>	<http://www.w3.org/2000/01/rdf-schema#label>	"DG 3 cell"	
<http://purl.obolibrary.org/obo/CLO_0004118>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 792(B).T cell"	
<http://purl.obolibrary.org/obo/CLO_0001333>	<http://www.w3.org/2000/01/rdf-schema#label>	"3C11 cell"	
<http://purl.obolibrary.org/obo/CLO_0001157>	<http://www.w3.org/2000/01/rdf-schema#label>	"1BR3 cell"	
<http://purl.obolibrary.org/obo/CLO_0000582>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human ear-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002817>	<http://www.w3.org/2000/01/rdf-schema#label>	"DREG200 cell"	
<http://purl.obolibrary.org/obo/CLO_0037153>	<http://www.w3.org/2000/01/rdf-schema#label>	"IHH-4 cell"	
<http://purl.obolibrary.org/obo/CLO_0009271>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tb 1 Lu cell"	
<http://purl.obolibrary.org/obo/CLO_0000906>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal free-tailed bat pair of lungs-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050630>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2127 cell"	
<http://purl.obolibrary.org/obo/CLO_0009095>	<http://www.w3.org/2000/01/rdf-schema#label>	"SNU-16 cell"	
<http://purl.obolibrary.org/obo/CLO_0001208>	<http://www.w3.org/2000/01/rdf-schema#label>	"240-13D10 cell"	
<http://purl.obolibrary.org/obo/CLO_0050454>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2259 cell"	
<http://purl.obolibrary.org/obo/CLO_0007970>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-BL2087 cell"	
<http://purl.obolibrary.org/obo/CLO_0050278>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2308 cell"	
<http://purl.obolibrary.org/obo/CLO_0007794>	<http://www.w3.org/2000/01/rdf-schema#label>	"MM5MT cell"	
<http://purl.obolibrary.org/obo/CLO_0037204>	<http://www.w3.org/2000/01/rdf-schema#label>	"LSCC-RP9 cell"@en	
<http://purl.obolibrary.org/obo/CLO_0009322>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tep Be cell"	
<http://purl.obolibrary.org/obo/CLO_0037028>	<http://www.w3.org/2000/01/rdf-schema#label>	"LU99A cell"	
<http://purl.obolibrary.org/obo/CLO_0009146>	<http://www.w3.org/2000/01/rdf-schema#label>	"STA88M cell"	
<http://purl.obolibrary.org/obo/CLO_0006361>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF128/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0050505>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0405 cell"	
<http://purl.obolibrary.org/obo/CLO_0006185>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF103/79 cell"	
<http://purl.obolibrary.org/obo/CLO_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal cattle thigh-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050329>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1915 cell"	
<http://purl.obolibrary.org/obo/CLO_0007845>	<http://www.w3.org/2000/01/rdf-schema#label>	"MP 6 cell"	
<http://purl.obolibrary.org/obo/CLO_0007669>	<http://www.w3.org/2000/01/rdf-schema#label>	"MEL III cell"	
<http://purl.obolibrary.org/obo/CLO_0004884>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF024/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0006412>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF146/82 cell"	
<http://purl.obolibrary.org/obo/CLO_0006236>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF108/84 cell"	
<http://purl.obolibrary.org/obo/CLO_0003451>	<http://www.w3.org/2000/01/rdf-schema#label>	"GAP 8.3 cell"	
<http://purl.obolibrary.org/obo/CLO_0003275>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-IP1 cell"	
<http://purl.obolibrary.org/obo/CLO_0004935>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF027/00 cell"	
<http://purl.obolibrary.org/obo/CLO_0003099>	<http://www.w3.org/2000/01/rdf-schema#label>	"FH 101 cell"	
<http://purl.obolibrary.org/obo/CLO_0004759>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF018/98 cell"	
<http://purl.obolibrary.org/obo/CLO_0001974>	<http://www.w3.org/2000/01/rdf-schema#label>	"BHT-101 cell"	
<http://purl.obolibrary.org/obo/CLO_0003502>	<http://www.w3.org/2000/01/rdf-schema#label>	"GL-6 (251-MG) cell"	
<http://purl.obolibrary.org/obo/CLO_0001798>	<http://www.w3.org/2000/01/rdf-schema#label>	"B19 cell"	
<http://purl.obolibrary.org/obo/CLO_0003326>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-PSE43 cell"	
<http://purl.obolibrary.org/obo/CLO_0001849>	<http://www.w3.org/2000/01/rdf-schema#label>	"BAE-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0009963>	<http://www.w3.org/2000/01/rdf-schema#label>	"HCC-56 cell"	
<http://purl.obolibrary.org/obo/CLO_0009787>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal European rabbit, rabbit cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051014>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2541 cell"	
<http://purl.obolibrary.org/obo/CLO_0008530>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-EDS147 cell"	
